%OpenBCI Raw EXG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
19, -4063.46, -5920.07, 16121.77, 15355.30, 33027.49, 10425.24, 16347.14, 27588.22, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354179, 0, 04:39:14.179
20, 1616.68, -19725.31, 3837.34, 27006.96, 17900.91, 25363.78, 15828.97, 18703.78, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354183, 0, 04:39:14.183
21, 6578.41, -28950.22, -14371.29, 37283.83, 1567.06, 35287.80, 12061.21, 12076.96, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354187, 0, 04:39:14.187
22, 8777.87, -30486.19, -31234.72, 45164.11, -15758.52, 36428.29, 1393.15, 7572.87, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354191, 0, 04:39:14.191
23, 5216.94, -27113.20, -47017.59, 48440.84, -29056.20, 33145.63, -13347.81, 8127.46, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354195, 0, 04:39:14.195
24, -1994.54, -19867.18, -54363.08, 39632.35, -36634.43, 24208.79, -25483.77, 13621.67, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354199, 0, 04:39:14.199
25, -13371.50, -11617.25, -56116.60, 25660.98, -38289.52, 12712.32, -33222.20, 19657.06, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354203, 0, 04:39:14.203
26, -24767.07, -6037.79, -49737.53, 7287.47, -33727.76, 2140.63, -35193.74, 27116.34, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354207, 0, 04:39:14.207
27, -33863.68, -5532.88, -36276.26, -11649.82, -21761.91, -6017.62, -31288.11, 28747.96, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354211, 0, 04:39:14.211
28, -40235.70, -7734.23, -20239.39, -30418.27, -6648.59, -7837.82, -19944.12, 26594.35, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354215, 0, 04:39:14.215
29, -37196.20, -12930.48, -438.36, -42674.84, 4542.09, -5976.05, -4808.00, 20382.46, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354219, 0, 04:39:14.219
30, -28447.56, -20929.87, 11842.85, -49308.95, 9101.13, -1120.48, 14234.06, 7110.06, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354223, 0, 04:39:14.223
31, -14158.99, -28296.66, 21487.62, -49198.36, 15540.62, 6453.72, 29823.40, -8410.52, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354227, 0, 04:39:14.227
32, 3558.47, -30896.10, 23438.60, -39520.92, 15175.79, 11879.36, 40722.40, -28534.74, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354231, 0, 04:39:14.231
33, 22143.95, -28672.84, 20609.31, -30043.14, 9511.42, 12849.15, 46454.49, -42922.93, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354235, 0, 04:39:14.235
34, 33411.75, -20484.55, 15496.18, -16275.60, 3350.00, 7444.26, 41460.32, -52279.90, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354239, 0, 04:39:14.239
35, 42158.39, -6559.70, 10018.67, -4030.72, -977.42, -554.04, 33956.27, -54868.97, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354243, 0, 04:39:14.243
36, 39556.85, 11389.78, 3766.63, 3843.28, -1078.27, -14059.18, 21215.23, -49552.19, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354247, 0, 04:39:14.247
37, 33495.90, 27073.80, 2415.02, 6881.01, 1505.28, -26766.65, 7653.17, -36851.90, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354251, 0, 04:39:14.251
38, 21599.00, 42251.36, 6789.24, 4303.17, 12375.77, -39077.19, -6383.53, -19832.40, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354255, 0, 04:39:14.255
39, 7442.46, 47345.74, 14393.10, 198.82, 23239.43, -43500.93, -12851.99, -2152.17, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354259, 0, 04:39:14.259
40, -5983.55, 46550.23, 24598.75, -6294.19, 34922.80, -43246.41, -14760.17, 11463.81, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354263, 0, 04:39:14.263
41, -15732.11, 39035.00, 31872.97, -7628.15, 46606.81, -34688.69, -12369.16, 20849.92, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354267, 0, 04:39:14.267
42, -21217.31, 25782.31, 37008.80, -6154.91, 48776.44, -20105.01, -6337.38, 27083.28, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354271, 0, 04:39:14.271
43, -20272.00, 9613.79, 36361.29, 855.38, 47068.78, -2642.56, -733.58, 23328.22, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354275, 0, 04:39:14.275
44, -13778.40, -4766.47, 27586.70, 8859.26, 37105.35, 16483.59, 2487.84, 20478.40, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354279, 0, 04:39:14.279
45, -7371.76, -19586.43, 14915.46, 22682.33, 23499.84, 34889.91, 3074.65, 13341.70, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354283, 0, 04:39:14.283
46, -1694.73, -24648.39, -1624.08, 36858.89, 1613.62, 44225.05, -2556.48, 8063.67, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354287, 0, 04:39:14.287
47, 1986.34, -25418.29, -18790.70, 42929.50, -19082.51, 47263.94, -11265.98, 5423.36, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354291, 0, 04:39:14.291
48, 1242.14, -21657.54, -31034.19, 48856.28, -33730.65, 46615.98, -21909.55, 5498.31, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354295, 0, 04:39:14.295
49, -2984.67, -10838.83, -39927.39, 45300.35, -42879.05, 37891.56, -33246.83, 13042.37, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354299, 0, 04:39:14.299
50, -11965.89, -984.61, -41225.21, 32894.55, -45416.41, 28487.92, -39888.80, 23167.08, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354303, 0, 04:39:14.303
51, -20922.06, 4504.97, -37246.17, 16981.31, -40012.93, 17070.28, -40369.18, 30993.16, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354307, 0, 04:39:14.307
52, -29219.08, 8595.39, -20847.73, -1735.02, -31539.06, 9359.97, -34418.13, 36968.42, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354311, 0, 04:39:14.311
53, -31265.88, 5703.78, -7862.14, -18064.10, -20956.64, 7565.76, -20975.83, 38166.53, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354315, 0, 04:39:14.315
54, -27005.39, 726.91, 10306.85, -30387.42, -10837.17, 6147.34, -2104.95, 31493.74, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354319, 0, 04:39:14.319
55, -17336.56, -4696.45, 19688.05, -36318.42, -661.21, 11439.58, 16275.44, 18628.03, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354323, 0, 04:39:14.323
56, -851.72, -12905.41, 27391.25, -34903.37, 1002.48, 16528.88, 33487.10, 4451.76, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354327, 0, 04:39:14.327
57, 16665.12, -17123.33, 27153.84, -26746.30, -401.95, 18983.23, 47845.75, -13046.96, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354331, 0, 04:39:14.331
58, 34765.90, -14448.35, 24923.05, -14987.67, -4565.30, 21240.14, 54440.17, -28679.67, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354335, 0, 04:39:14.335
59, 48593.96, -7802.86, 15626.40, -292.78, -10590.10, 14183.85, 53681.00, -37590.41, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354339, 0, 04:39:14.339
60, 55182.90, 4524.01, 6811.25, 8540.87, -13461.52, 4421.77, 46992.79, -40754.05, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354343, 0, 04:39:14.343
61, 56243.12, 20648.06, -426.29, 15796.46, -12862.56, -10787.76, 32410.13, -34731.17, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354347, 0, 04:39:14.347
62, 47674.07, 33735.26, -1641.15, 16361.72, -6460.05, -26376.43, 22118.72, -24465.54, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354351, 0, 04:39:14.351
63, 34969.87, 45182.87, -160.17, 12951.69, 3062.97, -40920.41, 10973.10, -8263.08, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354355, 0, 04:39:14.355
64, 19762.82, 51156.15, 6354.28, 5538.02, 16127.33, -49668.67, 2326.81, 4725.41, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354359, 0, 04:39:14.359
65, 4834.74, 49325.41, 11813.16, -1277.77, 30308.33, -50255.40, -237.79, 20018.59, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354363, 0, 04:39:14.363
66, -6396.59, 39599.43, 19728.61, -5762.71, 43890.13, -43174.12, 929.84, 27509.53, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354367, 0, 04:39:14.367
67, -13357.07, 22280.16, 22270.02, -5211.19, 50450.40, -31047.01, 5817.33, 29234.60, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354371, 0, 04:39:14.371
68, -14570.28, 5265.21, 21687.42, -139.93, 49476.94, -14458.72, 11365.35, 27424.01, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354375, 0, 04:39:14.375
69, -11029.03, -14059.91, 14008.24, 5972.99, 41710.11, 3161.74, 13938.62, 19628.62, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354379, 0, 04:39:14.379
70, -7278.82, -25831.66, 1970.88, 18111.10, 28472.55, 19978.07, 12391.44, 8150.79, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354383, 0, 04:39:14.383
71, -2623.94, -36621.42, -13713.25, 28054.22, 11818.76, 29715.24, 5674.12, 3004.33, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354387, 0, 04:39:14.387
72, -1121.31, -36032.29, -30100.05, 36324.44, -7823.60, 33938.22, -5049.78, -1076.32, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354391, 0, 04:39:14.391
73, -3855.17, -33565.73, -44939.60, 39033.64, -21647.67, 31103.25, -18437.65, -1597.24, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354395, 0, 04:39:14.395
74, -10065.34, -23276.33, -50587.29, 32244.71, -29759.75, 23324.49, -32786.51, 3188.04, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354399, 0, 04:39:14.399
75, -21683.38, -15616.69, -51178.08, 20507.48, -33216.18, 14055.67, -40341.80, 9971.07, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354403, 0, 04:39:14.403
76, -32250.92, -9852.38, -43426.23, 4958.93, -27867.47, 4965.87, -42618.94, 18530.92, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354407, 0, 04:39:14.407
77, -39437.28, -5926.91, -29602.24, -14585.80, -18379.14, -5.04, -40215.39, 23379.84, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354411, 0, 04:39:14.411
78, -44534.77, -5688.05, -11885.57, -32667.13, -7903.71, -2707.48, -27882.07, 23974.84, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354415, 0, 04:39:14.415
79, -40502.43, -10051.68, 7820.75, -44072.01, 4083.31, 1040.11, -13938.63, 17203.08, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354419, 0, 04:39:14.419
80, -31947.03, -17414.88, 21178.45, -50244.53, 11220.07, 5277.21, 5018.72, 4094.39, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354423, 0, 04:39:14.423
81, -15635.77, -22837.84, 30365.13, -46908.79, 14092.99, 11984.16, 21317.90, -10460.61, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354427, 0, 04:39:14.427
82, 2398.29, -24271.14, 33083.01, -38009.36, 10123.75, 19113.40, 35467.43, -27416.76, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354431, 0, 04:39:14.431
83, 21285.14, -21532.24, 33000.25, -26556.21, 5265.01, 21600.98, 41491.94, -42021.86, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354435, 0, 04:39:14.435
84, 36990.89, -13523.51, 25869.45, -10820.48, -569.84, 17818.26, 38547.98, -51117.72, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354439, 0, 04:39:14.439
85, 43151.39, 1254.86, 16944.55, 1539.65, -5451.86, 9308.49, 32000.27, -50298.27, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354443, 0, 04:39:14.443
86, 46015.85, 19380.31, 11841.97, 10679.12, -7822.47, -6764.21, 20765.37, -43810.20, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354447, 0, 04:39:14.447
87, 39733.67, 37169.98, 10008.18, 14377.94, -6582.07, -17380.08, 6627.28, -30516.57, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354451, 0, 04:39:14.451
88, 27689.11, 50881.86, 12802.38, 12809.76, 3171.32, -30163.98, -3905.56, -14448.68, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354455, 0, 04:39:14.455
89, 13293.02, 57246.32, 18234.92, 7855.71, 14010.40, -38895.89, -9828.29, 4267.89, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354459, 0, 04:39:14.459
90, 1817.00, 56200.87, 27209.98, 4150.71, 27046.23, -37103.92, -12466.55, 18309.27, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354463, 0, 04:39:14.463
91, -7987.27, 48413.05, 35207.17, -181.47, 36092.97, -30397.78, -8148.76, 29054.71, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354467, 0, 04:39:14.467
92, -11439.42, 33083.04, 36300.18, 693.44, 40089.92, -16698.15, 93.30, 34186.25, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354471, 0, 04:39:14.471
93, -10421.77, 16424.96, 34379.83, 5103.48, 39213.95, 1217.39, 4653.76, 32799.10, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354475, 0, 04:39:14.475
94, -3744.26, -933.85, 26464.61, 18056.86, 30883.02, 18656.30, 10544.82, 25425.31, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354479, 0, 04:39:14.479
95, 1718.44, -14634.84, 12353.20, 29768.86, 15346.75, 32117.67, 10772.90, 18658.22, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354483, 0, 04:39:14.483
96, 7216.09, -20997.66, -3177.60, 42557.43, -2959.63, 42933.81, 5700.21, 13153.69, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354487, 0, 04:39:14.487
97, 11199.66, -22604.70, -22144.89, 48525.30, -21416.10, 44375.58, -2781.13, 11512.95, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354491, 0, 04:39:14.491
98, 9498.26, -18174.17, -37328.49, 51659.84, -36077.84, 42350.41, -12653.82, 11470.83, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354495, 0, 04:39:14.495
99, 4066.54, -10909.07, -47709.28, 47309.78, -44755.48, 33834.17, -24515.87, 17764.87, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354499, 0, 04:39:14.499
100, -6159.03, -3124.66, -49542.35, 33686.42, -46977.27, 19804.11, -31785.63, 25553.65, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354503, 0, 04:39:14.503
101, -17224.34, 3179.58, -44755.47, 17544.73, -41251.66, 9030.35, -32605.12, 32495.10, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354507, 0, 04:39:14.507
102, -24851.96, 4724.99, -30808.39, -2821.23, -29250.84, 550.46, -28871.24, 37253.70, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354511, 0, 04:39:14.511
103, -31093.27, 2565.74, -15606.28, -20509.64, -17757.75, -2870.68, -17486.30, 34848.22, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354515, 0, 04:39:14.515
104, -28129.00, -4888.17, 746.74, -33578.68, -5609.19, -1284.18, 1829.34, 28124.62, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354519, 0, 04:39:14.519
105, -19252.12, -12300.85, 12171.15, -40210.80, 3463.49, 2155.94, 19019.52, 16725.68, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354523, 0, 04:39:14.523
106, -4295.67, -19675.74, 19846.55, -40572.60, 7525.13, 8418.00, 36649.85, -460.38, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354527, 0, 04:39:14.527
107, 12076.55, -25091.16, 21762.44, -34552.63, 6956.17, 12532.19, 47360.77, -19328.26, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354531, 0, 04:39:14.531
108, 30518.68, -23353.97, 18730.25, -23237.85, 3747.54, 12463.41, 53643.31, -35043.93, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354535, 0, 04:39:14.535
109, 42561.16, -16837.34, 9611.48, -10069.14, -1757.14, 5246.55, 50086.11, -48206.50, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354539, 0, 04:39:14.539
110, 47863.41, -4464.06, 3808.46, -1099.29, -4786.90, -2886.23, 42311.81, -50714.11, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354543, 0, 04:39:14.543
111, 47101.58, 10275.73, -2637.22, 6046.11, -4943.89, -16696.86, 28630.36, -45691.90, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354547, 0, 04:39:14.547
112, 39982.89, 27546.45, -5392.58, 7239.37, 1214.93, -31386.47, 14138.60, -32264.08, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354551, 0, 04:39:14.551
113, 26945.82, 39183.68, -3447.53, 4291.36, 11757.34, -45368.64, 2135.51, -19572.89, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354555, 0, 04:39:14.555
114, 12175.44, 44523.41, 5135.27, -2539.44, 24319.65, -53144.34, -8061.93, -2710.62, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354559, 0, 04:39:14.559
115, -1883.51, 44157.40, 15492.41, -9627.95, 36461.80, -53400.86, -10417.78, 10532.31, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354563, 0, 04:39:14.563
116, -15275.38, 33344.56, 24067.50, -11584.74, 49820.64, -45833.15, -7397.13, 19276.72, 0.000, 0.000, 0.000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1774154354567, 0, 04:39:14.567
